	index	MI	zscore	pval	gene_id	gene_name	TSS	pval_adj	accept	peak
85	chr3:120094658-120095158	0.28258679696211764	2.1525646610447895	0.015676454187895945	ENSG00000082701.14	GSK3B	120094417	0.19451600298450478	False	chr3:120094658-120095158
88	chr5:43121043-43121543	0.27414315638634323	2.356142044174759	0.00923292755482663	ENSG00000172262.11	ZNF131	43065176	0.1588334438250856	False	chr5:43121043-43121543
94	chr3:125916024-125916524	0.169953020239266	2.0369427519503422	0.020827889616599562	ENSG00000144909.7	OSBPL11	125595090	0.22613137298022382	False	chr3:125916024-125916524
110	chr6:162727544-162728044	0.2630554426445448	1.7818727197946551	0.037384995067544224	ENSG00000112530.11	PACRG	162727132	0.3278204315377847	False	chr6:162727544-162728044
111	chr12:31728724-31729224	0.2046470070913878	1.9925537125021822	0.023155169014466678	ENSG00000151746.13	BICD1	32106835	0.24273004759992653	False	chr12:31728724-31729224
127	chr1:197201106-197201606	0.34118806721817496	2.7478884018135026	0.0029990210307356737	ENSG00000134376.15	CRB1	197268204	0.08326368787124105	False	chr1:197201106-197201606
134	chr6:52995157-52995657	0.24655911656357346	2.239567044548714	0.012559522101524776	ENSG00000112146.16	FBXO9	53051991	0.17522732931237867	False	chr6:52995157-52995657
139	chr8:140464483-140464983	0.2683445726994405	4.455559513902091	4.183733942719866e-06	ENSG00000167632.14	TRAPPC9	140458579	0.0012718551185868395	True	chr8:140464483-140464983
147	chr19:3572496-3572996	0.2590539919618555	3.5266600888401913	0.0002104183315016331	ENSG00000167658.15	EEF2	3985469	0.019881058463565002	True	chr19:3572496-3572996
157	chr22:50507681-50508181	0.2448577818733942	2.05337572389821	0.02001807593165747	ENSG00000177989.13	ODF3B	50532580	0.22613137298022382	False	chr22:50507681-50508181
159	chr1:632540-633040	0.11264421703220506	1.6874970714861675	0.045753906279870395	ENSG00000248527.1	MTATP6P1	633696	0.35213132934381264	False	chr1:632540-633040
180	chr10:110918876-110919376	0.2917691537359258	1.7759126978340625	0.03787365386017075	ENSG00000203867.7	RBM20	110644397	0.3278204315377847	False	chr10:110918876-110919376
203	chr19:3572496-3572996	0.31782064298496737	2.3290922252885387	0.00992709023906785	ENSG00000141905.17	NFIC	3359563	0.1588334438250856	False	chr19:3572496-3572996
204	chr19:3036174-3036674	0.32910254176871984	2.475756732891007	0.0066477067035848715	ENSG00000141905.17	NFIC	3359563	0.13472685585932007	False	chr19:3036174-3036674
221	chr13:49443897-49444397	0.2520870954955853	2.178756583708345	0.01467487790657087	ENSG00000102531.16	FNDC3A	48975912	0.18588178681656436	False	chr13:49443897-49444397
224	chr20:3888862-3889362	0.13878290200703955	2.499566967973591	0.006217259751066096	ENSG00000088888.17	MAVS	3846799	0.13357567819960042	False	chr20:3888862-3889362
239	chr19:36214590-36215090	0.11888218959044985	1.8005262635477133	0.03588879019718772	ENSG00000167635.11	ZNF146	36214602	0.3208880064689726	False	chr19:36214590-36215090
242	chr19:12938088-12938588	0.3651413647963261	3.1528978030414567	0.000808291957351852	ENSG00000179218.13	CALR	12938578	0.043237685311338585	True	chr19:12938088-12938588
254	chr4:83034723-83035223	0.12441016852246159	2.039552577852897	0.020697454699296278	ENSG00000145284.11	SCD5	82798857	0.22613137298022382	False	chr4:83034723-83035223
258	chr16:4253585-4254085	0.20118029527477	1.9353297037844004	0.026474924759862566	ENSG00000168096.14	ANKS3	4734378	0.2638812172786301	False	chr16:4253585-4254085
259	chr2:25878125-25878625	0.11888218959044985	2.051153413815868	0.020126004511313567	ENSG00000138101.18	DTNB	25673647	0.22613137298022382	False	chr2:25878125-25878625
264	chr2:172351070-172351570	0.24655911656357357	2.2056078260497896	0.013705735323968205	ENSG00000091409.14	ITGA6	172427354	0.18115406689071017	False	chr2:172351070-172351570
282	chr14:23094934-23095434	0.20118029527477002	2.7997155766859794	0.002557382566073392	ENSG00000100813.14	ACIN1	23095614	0.08326368787124105	False	chr14:23094934-23095434
287	chr19:13794873-13795373	0.35601309753148197	1.7607900073757234	0.03913697588287478	ENSG00000141837.19	CACNA1A	13633025	0.3278204315377847	False	chr19:13794873-13795373
297	chr14:45134181-45134681	0.21246219405852254	1.6994421664589658	0.044617951369673635	ENSG00000198718.12	TOGARAM1	44962208	0.35213132934381264	False	chr14:45134181-45134681
300	chr19:12938088-12938588	0.37205712678372405	2.454683302170652	0.007050437710687003	ENSG00000008441.16	NFIX	12995608	0.13827955251928056	False	chr19:12938088-12938588
323	chr19:9819055-9819555	0.24279651475800018	1.8746688359145565	0.03041914838271552	ENSG00000196605.7	ZNF846	9793180	0.2935689240744609	False	chr19:9819055-9819555
331	chr1:169427038-169427538	0.08780570439769278	1.9449152899105708	0.02589258724534343	ENSG00000203601.3	LINC00970	169087005	0.2623782174194801	False	chr1:169427038-169427538
333	chr3:150546208-150546708	0.2209058346342969	1.6519608839830366	0.049271262562351634	ENSG00000196428.12	TSC22D2	150408335	0.3698386128137011	False	chr3:150546208-150546708
340	chr3:11719297-11719797	0.250611701725135	2.3342798027477603	0.009790537800795744	ENSG00000144560.14	VGLL4	11771350	0.1588334438250856	False	chr3:11719297-11719797
343	chr19:12791333-12791833	0.24279651475800018	2.123606339117603	0.01685153751869145	ENSG00000105576.15	TNPO2	12724011	0.20089676100714515	False	chr19:12791333-12791833
345	chr17:75855243-75855743	0.26632796941920855	3.137018987713006	0.0008533753679869457	ENSG00000161526.14	SAP30BP	75667116	0.043237685311338585	True	chr17:75855243-75855743
349	chr19:12938088-12938588	0.18282462640002436	2.3824378834319413	0.008599216617081133	ENSG00000171223.5	JUNB	12791496	0.15843405161167662	False	chr19:12938088-12938588
352	chr9:136790886-136791386	0.19737302963403477	2.677467511774142	0.003709052314577286	ENSG00000148396.18	SEC16A	136483759	0.09284188775725505	False	chr9:136790886-136791386
353	chr11:3797398-3797898	0.27414315638634323	2.745333211064114	0.003022474301024679	ENSG00000167323.11	STIM1	3854527	0.08326368787124105	False	chr11:3797398-3797898
357	chr16:589462-589962	0.2046470070913879	1.8756250287123202	0.030353393553415604	ENSG00000103148.15	NPRL3	138860	0.2935689240744609	False	chr16:589462-589962
363	chr17:42388323-42388823	0.40476626623338874	2.2408747224141985	0.012517095516493595	ENSG00000168610.14	STAT3	42388568	0.17522732931237867	False	chr17:42388323-42388823
374	chr19:11435074-11435574	0.3334935971829329	2.235846156631416	0.012680925147606352	ENSG00000127616.17	SMARCA4	10961001	0.17522732931237867	False	chr19:11435074-11435574
375	chr19:10960728-10961228	0.3334935971829329	2.237124876333434	0.012639089757680307	ENSG00000127616.17	SMARCA4	10961001	0.17522732931237867	False	chr19:10960728-10961228
377	chr19:10717619-10718119	0.26849581086149255	1.8410196402649566	0.03280934029949568	ENSG00000127616.17	SMARCA4	10961001	0.3072995655609294	False	chr19:10717619-10718119
385	chr7:100889437-100889937	0.20464700709138778	2.3368597705917638	0.009723238368418579	ENSG00000169871.12	TRIM56	101085439	0.1588334438250856	False	chr7:100889437-100889937
402	chr3:4868369-4868869	0.39517455951075353	2.9810130941636475	0.0014364825410864547	ENSG00000150995.18	ITPR1	4493348	0.058225425665370964	False	chr3:4868369-4868869
411	chr19:4471600-4472100	0.10568981353405041	3.025416739985349	0.001241453775484092	ENSG00000141985.9	SH3GL1	4400547	0.05391456396388057	False	chr19:4471600-4472100
418	chr1:167714459-167714959	0.22090583463429697	2.0103853583382794	0.022195209460093856	ENSG00000143190.21	POU2F1	167220829	0.2367489009076678	False	chr1:167714459-167714959
447	chr22:20858491-20858991	0.21246219405852257	1.6880581728828667	0.04570003128398549	ENSG00000241973.10	PI4KA	20859417	0.35213132934381264	False	chr22:20858491-20858991
450	chr6:37819123-37819623	0.3177759791498058	2.1864503032962093	0.01439133839305692	ENSG00000156639.11	ZFAND3	37819499	0.18588178681656436	False	chr6:37819123-37819623
455	chr1:32013542-32014042	0.2635328964719421	1.830258033597007	0.03360568176640858	ENSG00000084636.17	COL16A1	31704319	0.30957961384812754	False	chr1:32013542-32014042
463	chr19:1205396-1205896	0.3291025417687199	3.5354788035898816	0.000203518449362332	ENSG00000099864.17	PALM	708939	0.019881058463565002	True	chr19:1205396-1205896
479	chr1:156728455-156728955	0.08780570439769278	2.0503452173319436	0.020165377514317823	ENSG00000132688.10	NES	156677397	0.22613137298022382	False	chr1:156728455-156728955
491	chr10:87342371-87342871	0.19737302963403477	1.9832278439739488	0.023670992523403933	ENSG00000148672.8	GLUD1	87094866	0.2439315839699931	False	chr10:87342371-87342871
495	chr3:15601413-15601913	0.2483244936900119	2.7836870210187983	0.0026872433855248514	ENSG00000206560.11	ANKRD28	15859771	0.08326368787124105	False	chr3:15601413-15601913
498	chr18:62714962-62715462	0.1934858252395281	1.840427499715734	0.03285274960766515	ENSG00000081913.13	PHLPP1	62715450	0.3072995655609294	False	chr18:62714962-62715462
508	chr16:5097821-5098321	0.31777597914980543	3.959275197481339	3.758878516161881e-05	ENSG00000102858.12	MGRN1	4616493	0.006441981753514056	True	chr16:5097821-5098321
514	chr6:10694457-10694957	0.39996586087034847	3.184708971030802	0.0007244982519848814	ENSG00000111837.11	MAK	10838555	0.043237685311338585	True	chr6:10694457-10694957
520	chr14:91060490-91060990	0.38688215709703117	2.957221078828879	0.0015521272885109147	ENSG00000100784.10	RPS6KA5	91060636	0.058980836963414766	False	chr14:91060490-91060990
546	chr10:58268799-58269299	0.24015145786912878	2.1269911603527647	0.01671040883408699	ENSG00000122870.11	BICC1	58513140	0.20089676100714515	False	chr10:58268799-58269299
551	chr4:184537358-184537858	0.24279651475800015	2.3612023485281477	0.009107894145018655	ENSG00000151726.13	ACSL1	184826818	0.1588334438250856	False	chr4:184537358-184537858
559	chr4:98929079-98929579	0.3364957575835159	3.029658500766054	0.0012241519968433116	ENSG00000168785.7	TSPAN5	98658629	0.05391456396388057	False	chr4:98929079-98929579
561	chr13:51452822-51453322	0.2917691537359259	2.7317676329301914	0.003149777666181816	ENSG00000139668.8	WDFY2	51584455	0.08326368787124105	False	chr13:51452822-51453322
567	chr12:31728724-31729224	0.26053073607135957	1.8117210565228115	0.03501465419067436	ENSG00000170456.15	DENND5B	31591097	0.3177449216108957	False	chr12:31728724-31729224
569	chr3:27369123-27369623	0.3687274432057825	1.7581614771747394	0.03936001891818796	ENSG00000163491.16	NEK10	27369460	0.3278204315377847	False	chr3:27369123-27369623
570	chr17:81034895-81035395	0.3631994642737708	3.5043126641722857	0.0002288937652055181	ENSG00000175866.15	BAIAP2	81035122	0.019881058463565002	True	chr17:81034895-81035395
573	chr1:1615351-1615851	0.2917691537359258	2.3003097563364694	0.010715338667283223	ENSG00000131591.17	C1orf159	1116361	0.16704938230021024	False	chr1:1615351-1615851
589	chr22:38505965-38506465	0.22576069612250677	1.69508323451632	0.04502981609445313	ENSG00000100201.20	DDX17	38507660	0.35213132934381264	False	chr22:38505965-38506465
603	chr10:96832265-96832765	0.10568981353405041	2.742399235967203	0.0030496079971006804	ENSG00000077147.14	TM9SF3	96587452	0.08326368787124105	False	chr10:96832265-96832765
604	chr7:100428714-100429214	0.33649575758351596	3.930518366937047	4.2381458904697736e-05	ENSG00000166526.16	ZNF3	100082548	0.006441981753514056	True	chr7:100428714-100429214
